args
 Namespace(samples=4, concat=10, runs=3, latent_size=10, dataset='house', seed=42, epochs=1500, lr=0.01, weight_decay=0, hidden=64, dropout=0.5, batch_size=128, tem=0.5, lam=1.0, pretrain_epochs=10, pretrain_lr=0.01, conditional=True, update_epochs=20, num_models=100, warmup=200, cuda=False)
Loading zoo dataset...
load features
load edges
hg: Hypergraph(num_v=101, num_e=41)
Run Train:   0%|          | 0/3 [00:00<?, ?it/s]/users/Min/miniconda/envs/hy/lib/python3.9/site-packages/torch/nn/functional.py:1967: UserWarning: nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.
  warnings.warn("nn.functional.sigmoid is deprecated. Use torch.sigmoid instead.")
Run:01 Epoch: 0319 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0320 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0321 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0322 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0323 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0324 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0325 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0326 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0327 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0328 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0329 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0330 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0331 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0332 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0333 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0334 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0335 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0336 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0337 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0338 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0339 loss_train: 1.8108 loss_val: 1.9134
Run:01 Epoch: 0340 loss_train: 1.8108 loss_val: 1.9134
